District_Name,Fiscal_Year,Fund_Code,Function_Code,School_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Aug 16 Payroll,0,0,49972.03,8/28/2019,J,1766, , ,,         ,                              ,                   ,20,48
Delta/Greely School District,20,100,549,100,000,315,TEACHER,August 30 Payroll,0,0,50095.71,8/29/2019,J,1767, , ,,         ,                              ,                   ,20,53
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Sept 13 Payroll,0,0,50095.71,9/13/2019,J,1768, , ,,         ,                              ,                   ,20,71
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Sept 27 Payroll,0,0,50095.71,10/3/2019,J,1808, , ,,         ,                              ,                   ,20,97
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Oct 11 Payroll,0,0,50095.71,10/11/2019,J,1809, , ,,         ,                              ,                   ,20,105
Delta/Greely School District,20,100,549,100,000,315,TEACHER,October 25 Payroll,0,0,50095.71,10/25/2019,J,1835, , ,,         ,                              ,                   ,20,124
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Nov 8 Payroll,0,0,50095.71,11/8/2019,J,1841, , ,,         ,                              ,                   ,20,146
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Nov 22 Payroll & Rebate,0,0,50095.71,11/26/2019,J,1851, , ,,         ,                              ,                   ,20,170
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Dec 6 Payroll,0,0,50095.71,12/6/2019,J,1856, , ,,         ,                              ,                   ,20,182
Delta/Greely School District,20,100,549,100,000,315,TEACHER,Dec 20 Payroll,0,0,50095.71,12/20/2019,J,1857, , ,,         ,                              ,                   ,20,202
Delta/Greely School District,20,100,549,100,000,315,TEACHER,January 3 Payroll,0,0,50095.71,1/6/2020,J,1860, , ,,         ,                              ,                   ,20,211
