District_Name,Fiscal_Year,Fund_Code,Org,Account,Object_Code,Project,Doc_Line_Number,Description,Invoice_Date,Date,Period,Vendor_Name,Amount
Valdez City School District,19,100,1,100,315,,PR 180801   5,Employer Contributions,7/1/2018,7/1/2018,818,,142.72
Valdez City School District,19,100,1,100,315,,PR 180801   6,Payroll Expenditure,7/1/2018,7/1/2018,818,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 180902   7,Employer Contributions,7/1/2018,7/1/2018,918,,142.72
Valdez City School District,19,100,1,100,315,,PR 180902   8,Payroll Expenditure,7/1/2018,7/1/2018,918,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 181001   9,Employer Contributions,7/1/2018,7/1/2018,1018,,142.72
Valdez City School District,19,100,1,100,315,,PR 181001  10,Payroll Expenditure,7/1/2018,7/1/2018,1018,,"70,033.86"
Valdez City School District,19,100,1,100,315,,PR 181103   7,Employer Contributions,7/1/2018,7/1/2018,1118,,142.73
Valdez City School District,19,100,1,100,315,,PR 181103   8,Payroll Expenditure,7/1/2018,7/1/2018,1118,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 181200   5,Employer Contributions,7/1/2018,7/1/2018,1218,,142.72
Valdez City School District,19,100,1,100,315,,PR 181200   6,Payroll Expenditure,7/1/2018,7/1/2018,1218,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 190104   7,Employer Contributions,7/1/2018,7/1/2018,119,,142.72
Valdez City School District,19,100,1,100,315,,PR 190104   8,Payroll Expenditure,7/1/2018,7/1/2018,119,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 190201   7,Employer Contributions,7/1/2018,7/1/2018,219,,142.72
Valdez City School District,19,100,1,100,315,,PR 190201   8,Payroll Expenditure,7/1/2018,7/1/2018,219,,"70,033.87"
Valdez City School District,19,100,1,100,315,,PR 190302   7,Employer Contributions,7/1/2018,7/1/2018,319,,142.74
Valdez City School District,19,100,1,100,315,,PR 190302   8,Payroll Expenditure,7/1/2018,7/1/2018,319,,"70,033.86"
