District_Name,Fiscal_Year,Fund_Code,School_Code,Function_Code,Program_Code,Object_Code,Account_Name,Description,Budget,Encumbrance,Amount,Date,Reference_Type,Reference,Check_Key,Claim_No,Received_From,Vendor_Number,Vendor_Name,Invoice_Number,Batch_Year,BatchNo
Copper River School District,20,100,4,100,0,315,TEACHER,Slana School,52989,0,0,2/4/2020,B,577, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,4,100,0,315,TEACHER,8/15/2019 PAYROLL - ADM/CLS,0,0,1000,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,4,100,0,315,TEACHER,9/15/2019 PAYROLL - LABOR DIST,0,0,4416,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,4,100,0,315,TEACHER,10/15/2019 PAYROLL LABOR DIST,0,0,4728.5,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,4,100,0,315,TEACHER,11/15/2019 PAYROLL LABOR DIST,0,0,4728.5,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,4,100,0,315,TEACHER,12/15/2019 PAYROLL LABOR DIST,0,0,4728.5,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
Copper River School District,20,100,4,100,0,315,TEACHER,1/15/2020 PAYROLL LABOR DIST,0,0,4728.5,1/31/2020,J,1383, , ,,         ,                              ,                   ,20,241
Copper River School District,20,100,4,100,0,315,TEACHER,02/15/2020 PAYROLL-LABOR DISTR,0,0,4728.5,2/28/2020,J,1391, , ,,         ,                              ,                   ,20,272
Copper River School District,20,100,4,100,0,315,TEACHER,03/15/2020 PAYROLL LABOR DIST,0,0,4728.5,3/31/2020,J,1404, , ,,         ,                              ,                   ,20,318
Copper River School District,20,100,4,100,0,315,TEACHER,04/15/2020 PAYROLL LABOR DIST,0,0,4728.5,4/30/2020,J,1411, , ,,         ,                              ,                   ,20,344
Copper River School District,20,100,4,100,0,315,TEACHER,05/15/2020 PAYROLL LABOR DIST,0,0,4728.5,5/29/2020,J,1414, , ,,         ,                              ,                   ,20,370
Copper River School District,20,100,4,100,0,315,TEACHER,07/15/2020 CERT/ADMIN PAYROLL,0,0,4416,6/28/2020,J,1437, , ,,         ,                              ,                   ,20,411
Copper River School District,20,100,4,100,0,315,TEACHER,08/15/2020 CERT PAYROLL LABOR,0,0,4416,6/29/2020,J,1440, , ,,         ,                              ,                   ,20,414
Copper River School District,20,100,4,100,0,315,TEACHER,06/15/2020 PAYROLL - LABOR DIS,0,0,4416,6/30/2020,J,1433, , ,,         ,                              ,                   ,20,401
Copper River School District,20,100,6,100,0,315,TEACHER,GES Budget,319132,0,0,2/14/2020,B,578, , ,,         ,                              ,                   ,20,269
Copper River School District,20,100,6,100,0,315,TEACHER,8/15/2019 PAYROLL - ADM/CLS,0,0,1289.19,8/30/2019,J,1311, , ,,         ,                              ,                   ,20,40
Copper River School District,20,100,6,100,0,315,TEACHER,9/15/2019 PAYROLL - LABOR DIST,0,0,23849.38,9/30/2019,J,1321, , ,,         ,                              ,                   ,20,69
Copper River School District,20,100,6,100,0,315,TEACHER,10/15/2019 PAYROLL LABOR DIST,0,0,26397.05,10/31/2019,J,1345, , ,,         ,                              ,                   ,20,107
Copper River School District,20,100,6,100,0,315,TEACHER,11/15/2019 PAYROLL LABOR DIST,0,0,26397.05,11/29/2019,J,1359, , ,,         ,                              ,                   ,20,148
Copper River School District,20,100,6,100,0,315,TEACHER,12/15/2019 PAYROLL LABOR DIST,0,0,26397.05,12/20/2019,J,1363, , ,,         ,                              ,                   ,20,169
